property_type,sector,price,bedRoom,bathroom,balcony,agePossession,super_built_up_area,servant room,furnishing_type,luxury_category,floor_category
house,sector 109,11.3,7,5,3+,Relatively New,5007.62,Yes,unfurnished,Low,Mid Floor
flat,sector 81,3.45,4,4,3+,New Property,2872.02,Yes,furnished,High,Mid Floor
flat,sector 85,1.12,2,2,3,Relatively New,1740.95,No,unfurnished,Low,Mid Floor
flat,sector 84,0.84,3,3,3+,New Property,1725.02,No,unfurnished,Medium,Mid Floor
house,sector 2,4.99,4,4,3+,Moderately Old,2685.0,Yes,unfurnished,Low,Mid Floor
flat,sector 106,1.2,3,4,3+,Relatively New,1760.01,Yes,unfurnished,High,Mid Floor
flat,sector 110,3.4,4,5,3,Relatively New,3399.99,Yes,unfurnished,Medium,Mid Floor
flat,sector 33,1.1,2,2,3,Moderately Old,1109.97,No,semifurnished,Low,Mid Floor
flat,sector 109,2.25,3,4,3,Relatively New,2584.95,Yes,unfurnished,Medium,High Floor
flat,sector 65,2.8,3,3,3+,Relatively New,2057.26,Yes,semifurnished,Low,Mid Floor
flat,sector 82,0.89,2,2,2,Relatively New,1246.86,No,semifurnished,Medium,High Floor
flat,sector 89,0.75,2,2,2,Moderately Old,1140.0,No,unfurnished,Low,Mid Floor
flat,sector 103,0.99,3,4,3+,Relatively New,1991.0,Yes,unfurnished,High,Low Floor
flat,sector 82,0.81,2,2,2,Relatively New,1299.96,No,semifurnished,Medium,High Floor
flat,sector 71,1.16,3,3,3,Moderately Old,1743.0,Yes,semifurnished,Medium,Mid Floor
flat,sohna road,0.4,2,2,3,Under Construction,629.67,No,unfurnished,Low,Mid Floor
flat,sector 99a,1.02,2,2,3,Relatively New,1550.0,No,unfurnished,High,Mid Floor
flat,dwarka expressway,2.0,3,3,3,New Property,1499.95,No,unfurnished,Low,Mid Floor
flat,sector 65,2.79,4,4,3+,Relatively New,2462.43,Yes,furnished,High,Low Floor
flat,sector 103,2.4,4,6,3+,Relatively New,2875.04,Yes,unfurnished,High,High Floor
flat,sector 65,2.3,3,4,3,Relatively New,2057.26,Yes,furnished,High,Mid Floor
flat,sector 54,7.0,4,6,3+,Moderately Old,3000.01,Yes,semifurnished,Medium,High Floor
flat,sector 89,0.88,2,2,0,New Property,1219.0,No,unfurnished,Low,Low Floor
flat,sector 65,2.1,2,2,2,New Property,1309.97,No,unfurnished,Medium,High Floor
flat,sector 37d,1.1,3,3,3+,Under Construction,1725.02,No,unfurnished,Medium,Mid Floor
flat,gwal pahari,1.45,3,3,3,Under Construction,1271.21,No,unfurnished,Low,Mid Floor
flat,sector 69,0.6,2,1,1,Relatively New,655.66,No,unfurnished,Low,High Floor
flat,sector 48,5.15,3,3,3+,Moderately Old,2463.96,Yes,furnished,Medium,Mid Floor
